kastid,lenght,cartesianAcceleration,maxJointAcc,speed,time,ramt,angle
1,2.3705,-2.3705,38.0000,2.4480867016,-1.00000,0,0
2,2.3270,-2.3270,38.0000,2.1565984634,-1.00000,0,0
3,2.2754,-2.2754,38.0000,2.1425932072,-1.00000,1,0
4,2.3823,-2.3823,38.0000,2.3390410445,-1.00000,1,0
5,2.3259,-2.3259,38.0000,2.0966660395,-1.00000,1,0
6,2.2766,-2.2766,38.0000,2.0847650587,-1.00000,1,0
7,2.3823,-2.3823,38.0000,2.3397218719,-1.00000,1,0
8,2.3854,-2.3854,38.0000,2.4274919346,-1.00000,1,0
9,2.3259,-2.3259,38.0000,2.0968722937,-1.00000,1,0
10,2.2678,-2.2678,38.0000,2.0846996936,-1.00000,0,0
11,2.3855,-2.3855,38.0000,2.3950243693,-1.00000,1,0
12,2.3287,-2.3287,38.0000,2.1339430705,-1.00000,1,0
13,2.2893,-2.2893,38.0000,2.0591919857,-1.00000,0,0
14,2.3855,-2.3855,38.0000,2.3944976539,-1.00000,1,0
15,2.3838,-2.3838,38.0000,2.4144430346,-1.00000,0,0
16,2.4438,-2.4438,38.0000,2.8676793482,-1.00000,0,0
17,2.3839,-2.3839,38.0000,2.3828670062,-1.00000,1,0
18,2.3304,-2.3304,38.0000,2.1115590863,-1.00000,1,0
19,2.3822,-2.3822,38.0000,2.3706474818,-1.00000,1,0
20,2.3320,-2.3320,38.0000,2.1176801521,-1.00000,1,0
21,2.3112,-2.3112,38.0000,2.8476766328,-1.00000,0,0
22,2.3839,-2.3839,38.0000,2.3836977091,-1.00000,1,0
23,2.3302,-2.3302,38.0000,2.1393300969,-1.00000,1,0
24,2.2832,-2.2832,38.0000,2.0883363376,-1.00000,0,0
25,2.2848,-2.2848,38.0000,2.7955206163,-1.00000,0,0
26,2.2814,-2.2814,38.0000,2.9047457411,-1.00000,0,0
27,2.2746,-2.2746,38.0000,3.1707656776,-1.00000,0,0
28,2.3341,-2.3341,38.0000,2.1824810322,-1.00000,0,0
29,2.3359,-2.3359,38.0000,2.0862037589,-1.00000,1,0
30,2.3359,-2.3359,38.0000,2.0862503796,-1.00000,1,0
31,2.3407,-2.3407,38.0000,2.0733243818,-1.00000,1,0
32,2.3374,-2.3374,38.0000,2.0336479784,-1.00000,1,0
33,2.3576,-2.3576,38.0000,2.3341036322,-1.00000,1,0
34,2.3574,-2.3574,38.0000,2.3702742812,-1.00000,1,0
35,2.3556,-2.3556,38.0000,2.3951671480,-1.00000,1,0
36,2.3558,-2.3558,38.0000,2.3593656294,-1.00000,1,0
37,2.3558,-2.3558,38.0000,2.3589608618,-1.00000,1,0
38,2.3558,-2.3558,38.0000,2.3591821691,-1.00000,1,0
39,2.2046,-2.2046,38.0000,1.9006967965,-1.00000,0,0
40,2.2071,-2.2071,38.0000,2.8166632265,-1.00000,0,0
41,2.2071,-2.2071,38.0000,2.8166446268,-1.00000,0,0
42,2.2071,-2.2071,38.0000,2.8187886638,-1.00000,0,0
43,2.2365,-2.2365,38.0000,2.5104164486,-1.00000,1,0
44,2.2534,-2.2534,38.0000,2.3035646531,-1.00000,0,0
45,2.2448,-2.2448,38.0000,2.3742969915,-1.00000,0,0
46,2.4395,-2.4395,38.0000,3.8958891517,-1.00000,0,0
47,2.4010,-2.4010,38.0000,3.5632167454,-1.00000,0,0
48,2.4027,-2.4027,38.0000,3.5806068931,-1.00000,0,0
49,2.3814,-2.3814,38.0000,3.7758800031,-1.00000,0,0
50,2.3504,-2.3504,38.0000,1.5172610242,-1.00000,1,0.7853981633974483
51,2.3551,-2.3551,38.0000,1.5298037003,-1.00000,1,0.7853981633974483
52,2.3518,-2.3518,38.0000,1.5344232615,-1.00000,1,0.7853981633974483
53,2.3470,-2.3470,38.0000,1.7049002788,-1.00000,1,1.0471975511965976
54,2.3455,-2.3455,38.0000,1.7007096733,-1.00000,1,1.0471975511965976
55,2.4460,-2.4460,38.0000,2.3968487011,-1.00000,0,1.0471975511965976
56,2.3484,-2.3484,38.0000,1.7227290885,-1.00000,0,1.0471975511965976
57,2.3472,-2.3472,38.0000,1.6911602611,-1.00000,1,1.0471975511965976
58,2.3451,-2.3451,38.0000,1.6746546052,-1.00000,1,0.3490658503988659
59,2.3467,-2.3467,38.0000,1.6796409550,-1.00000,1,0.3490658503988659
60,2.3467,-2.3467,38.0000,1.6796301232,-1.00000,1,0.3490658503988659
61,2.3519,-2.3519,38.0000,1.6459589940,-1.00000,1,0.3490658503988659
62,2.4393,-2.4393,38.0000,1.0736444457,-1.00000,0,0.3490658503988659
63,2.4374,-2.4374,38.0000,1.3996422573,-1.00000,0,0
64,2.2698,-2.2698,38.0000,3.7560993899,-1.00000,0,0
65,2.3420,-2.3420,38.0000,2.5212382209,-1.00000,1,0
66,2.3435,-2.3435,38.0000,1.6698277873,-1.00000,0,0.3490658503988659
67,2.3435,-2.3435,38.0000,2.5317506141,-1.00000,1,0
68,2.3420,-2.3420,38.0000,1.5363083757,-1.00000,0,0.7853981633974483
69,2.3435,-2.3435,38.0000,2.5313916122,-1.00000,1,0
